text,labels
"[ATT] Name [VAL] Sri Lankan Elephant [ATT] Kingdom [VAL] Asian Elephant [ATT] Phylum [VAL] nan [ATT] Subphylum [VAL] Animalia [ATT] Class [VAL] Chordata [ATT] Order [VAL] Vertebrata [ATT] Suborder [VAL] nan [ATT] Family [VAL] Mammalia [ATT] Genus [VAL] Proboscidea [ATT] Species [VAL] Elephantidae [ATT] Population size [VAL] Elephas [ATT] Life span [VAL] Elephas maximus maximus [ATT] Top speed [VAL] 2,500-4,000 [ATT] Weight [VAL] 55-70 yrs [ATT] Height [VAL] 43 km/h [ATT] Length [VAL] nan [ATT] Attributes [VAL] Diurnal,Nocturnal,Herbivore,Terrestrial,Precocial,Grazing,Browsing,Social,Herding,Migrating,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'Asia', 'Subcontinents'[VAL] 'South Asia, Southeast Asia', 'Countries'[VAL] 'Sri Lanka', 'Wwf biomes'[VAL] 'Tropical dry forest, Tropical moist [SEP] [ATT] Animal Name [VAL] Asian Elephant [ATT] Order [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] Arabian Oryx [ATT] Kingdom [VAL] Animalia [ATT] Phylum [VAL] Chordata [ATT] Subphylum [VAL] Vertebrata [ATT] Class [VAL] Mammalia [ATT] Order [VAL] Artiodactyla [ATT] Suborder [VAL] nan [ATT] Family [VAL] Bovidae [ATT] Genus [VAL] Oryx [ATT] Species [VAL] Oryx leucoryx [ATT] Population size [VAL] 1,220 [ATT] Life span [VAL] 20 yrs [ATT] Top speed [VAL] nan [ATT] Weight [VAL] 65-70 kg [ATT] Height [VAL] 81-102 cm [ATT] Length [VAL] 160 cm [ATT] Attributes [VAL] Crepuscular,Herbivore,Terrestrial,Precocial,Grazing,Cursorial,Viviparous,Territorial,Nomadic,Polygyny,Social,Herding,Dominance hierarchy,Not a migrant,starts with,Desert Dwellers [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'Africa, Asia', 'Subcontinents'[VAL] 'North Africa, Western Asia', 'Countries'[VAL] 'Egypt, Iraq, Jordan, Kuwait, Syria, [SEP] [ATT] Animal Name [VAL] Arabian Oryx [ATT] Order [VAL] [MS] [SEP]",1
"[ATT] Name [VAL] Tonkin Snub-Nosed Monkey [ATT] Kingdom [VAL] Animalia [ATT] Phylum [VAL] Chordata [ATT] Subphylum [VAL] Vertebrata [ATT] Class [VAL] Mammalia [ATT] Order [VAL] Primates [ATT] Suborder [VAL] Haplorhini [ATT] Family [VAL] Cercopithecidae [ATT] Genus [VAL] Rhinopithecus [ATT] Species [VAL] Rhinopithecus avunculus [ATT] Population size [VAL] 250 [ATT] Life span [VAL] 20-29 yrs [ATT] Top speed [VAL] nan [ATT] Weight [VAL] 8-14 kg [ATT] Height [VAL] nan [ATT] Length [VAL] 51-65 cm [ATT] Attributes [VAL] Diurnal,Herbivore,Folivore,Frugivore,Arboreal,Zoochory,Scansorial,Terrestrial,Polygyny,Social,Not a migrant,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'Asia', 'Subcontinents'[VAL] 'Southeast Asia', 'Countries'[VAL] 'Viet Nam', 'Biogeographical realms'[VAL] 'Indomalayan', 'Wwf biomes'[VAL] 'Tropical moist forests'}, [SEP] [ATT] Animal Name [VAL] Golden Snub-Nosed Monkey [ATT] Order [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] Aru flying fox [ATT] Kingdom [VAL] Animalia [ATT] Phylum [VAL] Chordata [ATT] Subphylum [VAL] Vertebrata [ATT] Class [VAL] Mammalia [ATT] Order [VAL] Chiroptera [ATT] Suborder [VAL] nan [ATT] Family [VAL] Pteropodidae [ATT] Genus [VAL] Pteropus [ATT] Species [VAL] Pteropus aruensis [ATT] Population size [VAL] nan [ATT] Life span [VAL] nan [ATT] Top speed [VAL] nan [ATT] Weight [VAL] nan [ATT] Height [VAL] nan [ATT] Length [VAL] nan [ATT] Attributes [VAL] Terrestrial,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {}, 'Biome'[VAL] [ATT], 'Climate'[VAL] [ATT]} [ATT] Habits [VAL] {} [ATT] Diet [VAL] nan [ATT] Mating_Habits [VAL] {} [ATT] Population [VAL] {'Population [SEP] [ATT] Animal Name [VAL] Indian Flying Fox [ATT] Order [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] Nicaraguan spider monkey [ATT] Kingdom [VAL] Geoffroy's Spider Monkey [ATT] Phylum [VAL] nan [ATT] Subphylum [VAL] Animalia [ATT] Class [VAL] Chordata [ATT] Order [VAL] Vertebrata [ATT] Suborder [VAL] Mammalia [ATT] Family [VAL] Haplorhini [ATT] Genus [VAL] Atelidae [ATT] Species [VAL] Atelinae [ATT] Population size [VAL] nan [ATT] Life span [VAL] nan [ATT] Top speed [VAL] nan [ATT] Weight [VAL] nan [ATT] Height [VAL] nan [ATT] Length [VAL] nan [ATT] Attributes [VAL] Terrestrial,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'North America', 'Countries'[VAL] 'Costa Rica, Nicaragua', 'Biogeographical realms'[VAL] 'Neotropical'}, 'Biome'[VAL] [ATT]'Forest', 'Climate'[VAL] [ATT]} [ATT] Habits [VAL] {} [ATT] Diet [SEP] [ATT] Animal Name [VAL] Black-Headed Spider Monkey [ATT] Order [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] Mount Graham red squirrel [ATT] Kingdom [VAL] American Red Squirrel [ATT] Phylum [VAL] nan [ATT] Subphylum [VAL] Animalia [ATT] Class [VAL] Chordata [ATT] Order [VAL] Vertebrata [ATT] Suborder [VAL] nan [ATT] Family [VAL] Mammalia [ATT] Genus [VAL] Rodentia [ATT] Species [VAL] Sciuridae [ATT] Population size [VAL] nan [ATT] Life span [VAL] nan [ATT] Top speed [VAL] nan [ATT] Weight [VAL] nan [ATT] Height [VAL] nan [ATT] Length [VAL] nan [ATT] Attributes [VAL] Terrestrial,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] ''}, 'Biome'[VAL] [ATT]'Forest', 'Climate'[VAL] [ATT]} [ATT] Habits [VAL] {} [ATT] Diet [VAL] nan [ATT] Mating_Habits [VAL] {} [ATT] [SEP] [ATT] Animal Name [VAL] American Red Squirrel [ATT] Order [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] Arctic Wolf [ATT] Kingdom [VAL] Grey Wolf [ATT] Phylum [VAL] nan [ATT] Subphylum [VAL] Animalia [ATT] Class [VAL] Chordata [ATT] Order [VAL] Vertebrata [ATT] Suborder [VAL] Mammalia [ATT] Family [VAL] Carnivora [ATT] Genus [VAL] Caniformia [ATT] Species [VAL] Canidae [ATT] Population size [VAL] Canis [ATT] Life span [VAL] Canis lupus arctos [ATT] Top speed [VAL] 200,000 [ATT] Weight [VAL] 7-17 yrs [ATT] Height [VAL] 75 km/h [ATT] Length [VAL] 32-70 kg [ATT] Attributes [VAL] Diurnal,Carnivore,Terrestrial,Cursorial,Altricial,Pack hunters,Pursuit predator,Apex predator,Viviparous,Pack hunters,Monogamy,Social,Dominance hierarchy,Not a migrant,starts with,Canada Province Animals,Snow White [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'North America, Europe, Asia, Africa', 'Countries'[VAL] [SEP] [ATT] Animal Name [VAL] Arctic Wolf [ATT] Order [VAL] [MS] [SEP]",1
"[ATT] Name [VAL] Japanese Macaque [ATT] Kingdom [VAL] Animalia [ATT] Phylum [VAL] Chordata [ATT] Subphylum [VAL] Vertebrata [ATT] Class [VAL] Mammalia [ATT] Order [VAL] Primates [ATT] Suborder [VAL] Haplorhini [ATT] Family [VAL] Cercopithecidae [ATT] Genus [VAL] Macaca [ATT] Species [VAL] Macaca fuscata [ATT] Population size [VAL] 114,431 [ATT] Life span [VAL] 6.3-32 yrs [ATT] Top speed [VAL] nan [ATT] Weight [VAL] 8-11 kg [ATT] Height [VAL] 523-570 mm [ATT] Length [VAL] 57-52.3 cm [ATT] Attributes [VAL] Diurnal,Omnivore,Terrestrial,Arboreal,Altricial,Zoochory,Scansorial,Viviparous,Polygynandry,Social,Dominance hierarchy,Not a migrant,starts with,Fluffy Animals [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'Asia, North America', 'Subcontinents'[VAL] 'East Asia', 'Countries'[VAL] 'Japan', 'Regions'[VAL] 'Honshu, Kyushu, Shikoku', 'Biogeographical [SEP] [ATT] Animal Name [VAL] Japanese Macaque [ATT] Order [VAL] [MS] [SEP]",1
"[ATT] Name [VAL] Mexican Gray Wolf [ATT] Kingdom [VAL] Grey Wolf [ATT] Phylum [VAL] nan [ATT] Subphylum [VAL] Animalia [ATT] Class [VAL] Chordata [ATT] Order [VAL] Vertebrata [ATT] Suborder [VAL] Mammalia [ATT] Family [VAL] Carnivora [ATT] Genus [VAL] Caniformia [ATT] Species [VAL] Canidae [ATT] Population size [VAL] nan [ATT] Life span [VAL] Canis [ATT] Top speed [VAL] Canis lupus baileyi [ATT] Weight [VAL] 10-15 yrs [ATT] Height [VAL] 65 km/h [ATT] Length [VAL] 27-36 kg [ATT] Attributes [VAL] Nocturnal,Carnivore,Terrestrial,Cursorial,Altricial,Pack hunters,Pursuit predator,Apex predator,Pack hunters,Monogamy,Social,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'North America, Europe, Asia, Africa', 'Countries'[VAL] 'United States, Mexico', 'Biogeographical realms'[VAL] [SEP] [ATT] Animal Name [VAL] Mexican Gray Wolf [ATT] Order [VAL] [MS] [SEP]",1
"[ATT] Name [VAL] Pink Fairy Armadillo [ATT] Kingdom [VAL] Animalia [ATT] Phylum [VAL] Chordata [ATT] Subphylum [VAL] Vertebrata [ATT] Class [VAL] Mammalia [ATT] Order [VAL] Cingulata [ATT] Suborder [VAL] nan [ATT] Family [VAL] Chlamyphoridae [ATT] Genus [VAL] Chlamyphorus [ATT] Species [VAL] Chlamyphorus truncatus [ATT] Population size [VAL] 100 [ATT] Life span [VAL] 4-10 yrs [ATT] Top speed [VAL] nan [ATT] Weight [VAL] 120 g [ATT] Height [VAL] nan [ATT] Length [VAL] 90-115 mm [ATT] Attributes [VAL] Nocturnal,Crepuscular,Omnivore,Carnivore,Insectivores,Terrestrial,Fossorial,Polygyny,Solitary,starts with [ATT] Distribution [VAL] {'Geography'[VAL] {'Continents'[VAL] 'South America', 'Countries'[VAL] 'Argentina', 'Biogeographical realms'[VAL] 'Neotropical', 'Wwf biomes'[VAL] 'Desert and Xeric Shrublands, Temperate grasslands'}, 'Biome'[VAL] [ATT]'Grassland', [SEP] [ATT] Animal Name [VAL] Pink Fairy Armadillo [ATT] Order [VAL] [MS] [SEP]",1
