name,rating,genre,director,company,runtime,year
G.I. Joe: Retaliation,PG-13,Action,Jon M. Chu,Paramount Pictures,110,5152
Mr. Popper's Penguins,PG,Comedy,Mark Waters,Twentieth Century Fox,94,2011
Black Panther: Wakanda Forever,PG-13,Action,Ryan Cooler,Marvel Studios,161,2022
He Got Game,R,Drama,Spike Lee,Touchstone Pictures,136,5126
Creed III,PG-13,Drama,Michael B Jordan,Warner Bros,116,2214
The Diving Bell and the Butterfly,PG-13,Biography,Julian Schnabel,Pathé,112,2155
200 Cigarettes,R,Comedy,Risa Bramon Garcia,Dogstar Films,101,1999
Bohemian Rhapsody,PG-13,Biography,Bryan Singer,Twentieth Century Fox,134,2018
Star Wars: Episode V - The Empire Strikes Back,PG,Action,George Lucas,Lucasfilm,124,1958
Paranormal Activity 2,R,Horror,Todd Williams,Paramount Pictures,91,2010
