text,labels
"[ATT] name [VAL] Mohammad Nabi [ATT] fullName [VAL] Mohammad Nabi Eisakhil [ATT] dob [VAL] 07-03-1985 [ATT] country [VAL] Pakistan [ATT] birthPlace [VAL] Peshawar, North-West Frontier Province, Pakistan [ATT] nationalTeam [VAL] Afghanistan [ATT] teams [VAL] Afghanistan, Sunrisers [ATT] battingStyle [VAL] Right-hand bat [ATT] bowlingStyle [VAL] Off-break [SEP] [ATT] Player [VAL] Mohammad Nabi [ATT] Country [VAL] [MS] [SEP]",1
"[ATT] quote [VAL] I have been poisoned in your love and now I need antidote Jacqueline.L.J! <3 [ATT] author [VAL] Omaid olovejlj Zazai [ATT] category [VAL] happiness, heartbreak, life, love, sadness [SEP] [ATT] Player [VAL] Hazratullah Zazai [ATT] Country [VAL] [MS] [SEP]",0
"[ATT] Unnamed[VAL] 0 [VAL] 8589 [ATT] ID [VAL] 524049 [ATT] NAME [VAL] Najibullah Zadran [ATT] COUNTRY [VAL] Afghanistan [ATT] Full name [VAL] Najibullah Zadran [ATT] Birthdate [VAL] 28/02/93 [ATT] Birthplace [VAL] Logar [ATT] Died [VAL] Alive [ATT] Date_of_death [VAL] nan [ATT] Age [VAL] 26.0 [ATT] Major teams [VAL] [ATT]'Afghanistan,', 'Afghan Cheetas,', 'Afghanistan Under-19s,', 'Band-e-Amir Region,', 'Boost Region,', 'Montreal Tigers' [ATT] Batting style [VAL] Left-hand bat [ATT] Bowling style [VAL] Right-arm offbreak [ATT] Other [VAL] nan [ATT] AWARDS [VAL] [ATT] [ATT] BATTING_Tests_Mat [VAL] nan [ATT] BATTING_Tests_Inns [VAL] nan [ATT] BATTING_Tests_NO [VAL] nan [ATT] BATTING_Tests_Runs [VAL] nan [ATT] BATTING_Tests_HS [VAL] nan [ATT] [SEP] [ATT] Player [VAL] Najibullah Zadran [ATT] Country [VAL] [MS] [SEP]",1
"[ATT] show_id [VAL] s229 [ATT] type [VAL] Movie [ATT] title [VAL] Uncle Joe Shannon [ATT] director [VAL] Joseph C. Hanwright [ATT] cast [VAL] Doug McKeon, Burt Young [ATT] country [VAL] nan [ATT] date_added [VAL] nan [ATT] release_year [VAL] 1978 [ATT] rating [VAL] 13+ [ATT] duration [VAL] 108 min [ATT] listed_in [VAL] Drama [ATT] description [VAL] A trumpet player, self-destructive after the death of his wife and child in a fire, befriends a crippled youngster and together they battle obstacles through each other's encouragement. [SEP] [ATT] Player [VAL] Aaron Finch (c) [ATT] Country [VAL] [MS] [SEP]",0
"[ATT] name [VAL] Aftab Baloch [ATT] fullName [VAL] Aftab Baloch [ATT] dob [VAL] 01-04-1953 [ATT] country [VAL] Pakistan [ATT] birthPlace [VAL] Karachi, Sind, Pakistan [ATT] nationalTeam [VAL] Pakistan [ATT] teams [VAL] Pakistan [ATT] battingStyle [VAL] Right-hand bat [ATT] bowlingStyle [VAL] Off-break [SEP] [ATT] Player [VAL] Aftab Alam [ATT] Country [VAL] [MS] [SEP]",0
"[ATT] name [VAL] Adam Zampa [ATT] fullName [VAL] Adam Zampa [ATT] dob [VAL] 31-03-1992 [ATT] country [VAL] Australia [ATT] birthPlace [VAL] Shellharbour, New South Wales, Australia [ATT] nationalTeam [VAL] Australia [ATT] teams [VAL] Australia, Rising Pune Supergiants, Rising Pune Supergiant [ATT] battingStyle [VAL] Right-hand bat [ATT] bowlingStyle [VAL] Leg-break [SEP] [ATT] Player [VAL] Adam Zampa [ATT] Country [VAL] [MS] [SEP]",1
"[ATT] show_id [VAL] s8436 [ATT] type [VAL] Movie [ATT] title [VAL] The Natural [ATT] director [VAL] Barry Levinson [ATT] cast [VAL] Robert Redford, Robert Duvall, Glenn Close, Kim Basinger, Wilford Brimley, Barbara Hershey, Robert Prosky, Richard Farnsworth, Joe Don Baker, John Finnegan [ATT] country [VAL] United States [ATT] date_added [VAL] January 1, 2020 [ATT] release_year [VAL] 1984 [ATT] rating [VAL] PG [ATT] duration [VAL] 138 min [ATT] listed_in [VAL] Classic Movies, Dramas, Sports Movies [ATT] description [VAL] A gifted baseball player whose life has taken some startling turns becomes a 35-year-old rookie who helps a cellar-dwelling team get back in [SEP] [ATT] Player [VAL] Glenn Maxwell [ATT] Country [VAL] [MS] [SEP]",0
"[ATT] Name [VAL] David Warner [ATT] Team [VAL] DC [ATT] Url [VAL] https[VAL]//sports.ndtv.com/cricket/players/1285-david-warner-playerprofile [ATT] Type [VAL] Batsman [ATT] ValueinCR [VAL] 6.25 [ATT] Full Name [VAL] David Andrew Warner [ATT] Born [VAL] October 27, 1986 Paddington, New South Wales [ATT] Age [VAL] 35 Years, 4 Months, 19 Days [ATT] National Side [VAL] Australia [ATT] Batting Style [VAL] Left Handed [ATT] Bowling [VAL] Leg break [ATT] Sport [VAL] IPL [ATT] MatchPlayed [VAL] 150.0 [ATT] InningsBatted [VAL] 150.0 [ATT] NotOuts [VAL] 19.0 [ATT] RunsScored [VAL] 5449.0 [ATT] HighestInnScore [VAL] 126 v KKR [ATT] 100s [VAL] 4.0 [ATT] 50s [VAL] 50.0 [ATT] 4s [VAL] [SEP] [ATT] Player [VAL] David Warner [ATT] Country [VAL] [MS] [SEP]",1
"[ATT] show_id [VAL] s4616 [ATT] type [VAL] Movie [ATT] title [VAL] Zindagi Kitni Haseen Hay [ATT] director [VAL] Anjum Shahzad [ATT] cast [VAL] Feroze Khan, Sajal Ali, Jibrayl Ahmed Rajput, Alyy Khan, Shafqat Cheema, Nayyar Ejaz, Rashid Farooqi [ATT] country [VAL] Pakistan [ATT] date_added [VAL] October 1, 2018 [ATT] release_year [VAL] 2016 [ATT] rating [VAL] TV-14 [ATT] duration [VAL] 126 min [ATT] listed_in [VAL] Dramas, International Movies, Romantic Movies [ATT] description [VAL] Two young parents struggle to keep their marriage afloat and their son protected amidst financial woes, career goals and clashes of ego. [SEP] [ATT] Player [VAL] Rashid Khan (vc) [ATT] Country [VAL] [MS] [SEP]",0
"[ATT] name [VAL] Usman Khawaja [ATT] fullName [VAL] Usman Tariq Khawaja [ATT] dob [VAL] 18-12-1986 [ATT] country [VAL] Pakistan [ATT] birthPlace [VAL] Islamabad, Punjab, Pakistan [ATT] nationalTeam [VAL] Australia [ATT] teams [VAL] Australia, Rising Pune Supergiants [ATT] battingStyle [VAL] Left-hand bat [ATT] bowlingStyle [VAL] Right-arm medium [SEP] [ATT] Player [VAL] Usman Khawaja [ATT] Country [VAL] [MS] [SEP]",1
